order_id,order_name,stage,time,timestamp,resource,queue_recv,queue_pick,queue_ship,queue_deliv
13,Order13,pack_start,72.16425598682557,2025-07-20 10:12:09.855359,,0,0,2,1
7,Order7,deliver_end,75.45125897686341,2025-07-20 10:15:27.075539,Delivery,0,0,2,1
7,Order7,delivered,75.45125897686341,2025-07-20 10:15:27.075539,,0,0,2,0
8,Order8,deliver_start,75.45125897686341,2025-07-20 10:15:27.075539,Delivery,0,0,2,0
13,Order13,pack_end,77.08384731313383,2025-07-20 10:17:05.030839,,0,0,2,0
4,Order4,deliver_end,77.50552737270566,2025-07-20 10:17:30.331642,Delivery,0,0,3,0
4,Order4,delivered,77.50552737270566,2025-07-20 10:17:30.331642,,0,0,3,0
14,Order14,verify_start,77.97667125677125,2025-07-20 10:17:58.600275,,0,0,3,0
14,Order14,verify_end,78.25986675256894,2025-07-20 10:18:15.592005,,0,0,3,0
14,Order14,pick_start,78.25986675256894,2025-07-20 10:18:15.592005,Picking,0,0,3,0
15,Order15,verify_start,79.51528002817385,2025-07-20 10:19:30.916802,,0,0,3,0
15,Order15,verify_end,80.39375967029217,2025-07-20 10:20:23.625580,,0,0,3,0
15,Order15,pick_start,80.39375967029217,2025-07-20 10:20:23.625580,Picking,0,0,3,0
16,Order16,verify_start,81.0393642742698,2025-07-20 10:21:02.361856,,0,0,3,0
16,Order16,verify_end,81.28695519092022,2025-07-20 10:21:17.217311,,0,0,3,0
14,Order14,pick_end,81.55624592101174,2025-07-20 10:21:33.374755,Picking,0,1,3,0
14,Order14,pack_start,81.55624592101174,2025-07-20 10:21:33.374755,,0,0,3,0
16,Order16,pick_start,81.55624592101174,2025-07-20 10:21:33.374755,Picking,0,0,3,0
17,Order17,verify_start,83.58849909673411,2025-07-20 10:23:35.309946,,0,0,3,0
17,Order17,verify_end,83.63676159434,2025-07-20 10:23:38.205696,,0,0,3,0
18,Order18,verify_start,84.06505176271192,2025-07-20 10:24:03.903106,,0,1,3,0
16,Order16,pick_end,84.40578035012341,2025-07-20 10:24:24.346821,Picking,0,1,3,0
16,Order16,pack_start,84.40578035012341,2025-07-20 10:24:24.346821,,0,0,3,0
17,Order17,pick_start,84.40578035012341,2025-07-20 10:24:24.346821,Picking,0,0,3,0
3,Order3,deliver_end,84.43131652711179,2025-07-20 10:24:25.878992,Delivery,0,0,3,0
3,Order3,delivered,84.43131652711179,2025-07-20 10:24:25.878992,,0,0,3,0
19,Order19,verify_start,84.6457500546385,2025-07-20 10:24:38.745003,,0,0,3,0
20,Order20,verify_start,84.97392676624595,2025-07-20 10:24:58.435606,,0,0,3,0
18,Order18,verify_end,85.05242515987649,2025-07-20 10:25:03.145510,,0,0,3,0
19,Order19,verify_end,85.1264010245869,2025-07-20 10:25:07.584061,,0,1,3,0
20,Order20,verify_end,85.72706675159642,2025-07-20 10:25:43.624005,,0,2,3,0
17,Order17,pick_end,86.59961318125801,2025-07-20 10:26:35.976791,Picking,0,3,3,0
17,Order17,pack_start,86.59961318125801,2025-07-20 10:26:35.976791,,0,2,3,0
18,Order18,pick_start,86.59961318125801,2025-07-20 10:26:35.976791,Picking,0,2,3,0
16,Order16,pack_end,87.54697801318434,2025-07-20 10:27:32.818681,,0,2,3,0
15,Order15,pick_end,89.51794981544732,2025-07-20 10:29:31.076989,Picking,0,2,4,0
15,Order15,pack_start,89.51794981544732,2025-07-20 10:29:31.076989,,0,1,4,0
19,Order19,pick_start,89.51794981544732,2025-07-20 10:29:31.076989,Picking,0,1,4,0
15,Order15,pack_end,89.54104469087108,2025-07-20 10:29:32.462681,,0,1,4,0
12,Order12,ship_end,92.24932200368812,2025-07-20 10:32:14.959320,Shipping,0,1,5,0
11,Order11,ship_start,92.24932200368812,2025-07-20 10:32:14.959320,Shipping,0,1,4,0
12,Order12,deliver_start,92.24932200368812,2025-07-20 10:32:14.959320,Delivery,0,1,4,0
14,Order14,pack_end,93.5694887862087,2025-07-20 10:33:34.169327,,0,1,4,0
17,Order17,pack_end,93.68594474955981,2025-07-20 10:33:41.156685,,0,1,5,0
18,Order18,pick_end,94.48640407898289,2025-07-20 10:34:29.184245,Picking,0,1,6,0
18,Order18,pack_start,94.48640407898289,2025-07-20 10:34:29.184245,,0,0,6,0
20,Order20,pick_start,94.48640407898289,2025-07-20 10:34:29.184245,Picking,0,0,6,0
19,Order19,pick_end,94.62013753813949,2025-07-20 10:34:37.208252,Picking,0,0,6,0
19,Order19,pack_start,94.62013753813949,2025-07-20 10:34:37.208252,,0,0,6,0
19,Order19,pack_end,94.85669624633422,2025-07-20 10:34:51.401775,,0,0,6,0
18,Order18,pack_end,95.10714631856017,2025-07-20 10:35:06.428779,,0,0,7,0
10,Order10,ship_end,98.1282230840358,2025-07-20 10:38:07.693385,Shipping,0,0,8,0
9,Order9,ship_start,98.1282230840358,2025-07-20 10:38:07.693385,Shipping,0,0,7,0
10,Order10,deliver_start,98.1282230840358,2025-07-20 10:38:07.693385,Delivery,0,0,7,0
20,Order20,pick_end,98.58371002103834,2025-07-20 10:38:35.022601,Picking,0,0,7,0
20,Order20,pack_start,98.58371002103834,2025-07-20 10:38:35.022601,,0,0,7,0
11,Order11,ship_end,103.69725721862997,2025-07-20 10:43:41.835433,Shipping,0,0,7,0
13,Order13,ship_start,103.69725721862997,2025-07-20 10:43:41.835433,Shipping,0,0,6,1
9,Order9,ship_end,103.83336456988086,2025-07-20 10:43:50.001874,Shipping,0,0,6,1
